                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2101,                 2.4722,                 1.2428,                0.89571,                0.80382,                0.89913,                0.53011,                 1.2223,                 1.5499,                 1.0081,                0.00032,                0.00032,                0.00032
                      2,                 1.0896,                 1.0113,                 1.1147,                0.96877,                0.96776,                0.98421,                0.63667,                 1.2307,                 0.8539,                 1.0901,             0.00065564,             0.00065564,             0.00065564
                      3,                 1.0097,                0.82565,                 1.0794,                0.85954,                0.79639,                0.88731,                0.53918,                 1.2917,                 1.0779,                 1.1829,              0.0009868,              0.0009868,              0.0009868
                      4,                0.99813,                0.75925,                 1.0797,                0.87982,                0.93767,                0.94456,                0.61341,                 1.1922,                0.95736,                 1.0626,              0.0013135,              0.0013135,              0.0013135
                      5,                0.98391,                0.70915,                 1.0714,                 0.9161,                0.95238,                0.97266,                0.68219,                 1.0397,                0.76802,                 1.0687,              0.0016356,              0.0016356,              0.0016356
                      6,                0.99633,                0.71541,                 1.0804,                0.90356,                0.89984,                0.93804,                 0.6355,                 1.0998,                0.93803,                 1.2053,               0.001934,               0.001934,               0.001934
                      7,                0.99344,                0.68057,                 1.0832,                0.86892,                0.93924,                 0.8869,                0.61765,                 1.0074,                0.88279,                 1.1193,              0.0019208,              0.0019208,              0.0019208
                      8,                 1.0108,                0.68854,                 1.0777,                0.90382,                 0.8867,                0.94377,                 0.6083,                 1.1329,                0.89386,                 1.1119,              0.0019076,              0.0019076,              0.0019076
                      9,                0.96702,                0.65276,                 1.0652,                0.94117,                0.92447,                0.96217,                0.66707,                 1.0753,                0.68394,                  1.107,              0.0018944,              0.0018944,              0.0018944
                     10,                0.96905,                0.63574,                 1.0702,                0.96782,                 0.9688,                0.98808,                0.73364,                  0.975,                0.59862,                 1.0827,              0.0018812,              0.0018812,              0.0018812
                     11,                0.98493,                0.62974,                 1.0891,                0.92995,                0.96552,                0.97755,                0.70525,                 1.0193,                0.60098,                 1.1321,               0.001868,               0.001868,               0.001868
                     12,                0.94901,                0.60994,                 1.0615,                0.95807,                0.97543,                0.98695,                0.71959,                0.95586,                0.55556,                 1.1188,              0.0018548,              0.0018548,              0.0018548
                     13,                 0.9497,                0.60153,                 1.0633,                0.94727,                 0.9439,                0.98148,                0.70465,                  1.053,                0.63155,                 1.1839,              0.0018416,              0.0018416,              0.0018416
                     14,                0.94035,                 0.5809,                  1.071,                0.97356,                0.96059,                0.97715,                0.74013,                  0.927,                0.64347,                 1.1026,              0.0018284,              0.0018284,              0.0018284
                     15,                0.93843,                0.55921,                 1.0671,                0.96207,                0.95791,                0.98653,                0.71796,                 1.0057,                0.62393,                 1.1654,              0.0018152,              0.0018152,              0.0018152
                     16,                0.95297,                0.55951,                 1.0664,                0.98017,                 0.9803,                0.98928,                0.73218,                0.94417,                0.50968,                  1.119,               0.001802,               0.001802,               0.001802
                     17,                0.91625,                0.55036,                 1.0576,                0.97651,                0.98194,                0.99044,                0.75323,                 0.9052,                0.47481,                 1.0829,              0.0017888,              0.0017888,              0.0017888
                     18,                0.90565,                0.55091,                 1.0555,                 0.9825,                0.96552,                0.98865,                0.75269,                 0.9045,                0.48998,                 1.1151,              0.0017756,              0.0017756,              0.0017756
                     19,                0.90188,                0.53393,                 1.0559,                0.98259,                0.99015,                0.99005,                0.73977,                0.94881,                0.46047,                 1.1508,              0.0017624,              0.0017624,              0.0017624
                     20,                0.91528,                0.54303,                 1.0711,                0.95332,                 0.9803,                0.98885,                0.73616,                0.92275,                 0.5053,                 1.1504,              0.0017492,              0.0017492,              0.0017492
                     21,                0.91132,                0.52977,                 1.0638,                0.97052,                0.98522,                 0.9903,                0.75015,                0.92052,                0.45878,                 1.1341,               0.001736,               0.001736,               0.001736
                     22,                0.91194,                0.54352,                 1.0655,                0.96384,                0.92611,                0.97329,                0.72412,                 1.0069,                0.57454,                 1.1414,              0.0017228,              0.0017228,              0.0017228
                     23,                0.90033,                 0.5231,                 1.0483,                0.97352,                 0.9803,                0.98854,                0.75868,                0.90146,                0.44906,                 1.1022,              0.0017096,              0.0017096,              0.0017096
                     24,                0.88398,                0.50646,                 1.0543,                0.98465,                0.97373,                0.99114,                0.76425,                0.88278,                0.42667,                 1.1045,              0.0016964,              0.0016964,              0.0016964
                     25,                0.88742,                0.49999,                 1.0534,                0.98167,                0.96747,                 0.9853,                0.74672,                0.91837,                0.49855,                  1.118,              0.0016832,              0.0016832,              0.0016832
                     26,                0.89568,                0.50768,                 1.0605,                0.95983,                0.93924,                0.97342,                0.72825,                0.92604,                0.69095,                 1.1171,                0.00167,                0.00167,                0.00167
                     27,                 0.9149,                0.51839,                 1.0612,                0.98733,                0.98358,                0.99107,                0.76971,                0.87422,                0.45221,                 1.0949,              0.0016568,              0.0016568,              0.0016568
                     28,                0.87092,                0.48868,                 1.0442,                0.98036,                0.98332,                0.99018,                0.75207,                0.91131,                0.44173,                 1.1257,              0.0016436,              0.0016436,              0.0016436
                     29,                0.87775,                0.49081,                 1.0435,                0.98132,                0.97537,                0.98903,                0.76964,                0.88406,                0.39955,                 1.1013,              0.0016304,              0.0016304,              0.0016304
                     30,                0.86699,                0.48825,                 1.0539,                0.97824,                0.98686,                0.98794,                0.76394,                 0.8839,                0.42629,                 1.1195,              0.0016172,              0.0016172,              0.0016172
                     31,                 0.8543,                0.47973,                 1.0447,                0.98245,                0.98851,                0.99163,                0.76366,                0.93065,                 0.4091,                 1.1519,               0.001604,               0.001604,               0.001604
                     32,                0.87235,                0.48665,                 1.0455,                0.97694,                0.99179,                0.98986,                0.77231,                0.86723,                0.40003,                 1.0797,              0.0015908,              0.0015908,              0.0015908
                     33,                0.85068,                0.48026,                 1.0356,                0.98017,                0.97388,                0.98621,                0.75351,                0.90747,                0.43665,                 1.1094,              0.0015776,              0.0015776,              0.0015776
                     34,                0.86097,                0.47926,                 1.0451,                0.97516,                0.97537,                0.98992,                0.75324,                0.92879,                0.46112,                  1.147,              0.0015644,              0.0015644,              0.0015644
                     35,                 0.8729,                0.47844,                 1.0428,                0.97786,                0.97209,                0.98858,                0.76211,                0.91208,                0.43346,                 1.1286,              0.0015512,              0.0015512,              0.0015512
                     36,                0.85147,                0.46184,                  1.035,                0.98339,                0.98522,                0.99107,                0.76401,                 0.8712,                0.38167,                 1.0956,               0.001538,               0.001538,               0.001538
                     37,                0.85679,                  0.459,                 1.0427,                0.98085,                0.98522,                0.99106,                0.76709,                0.88832,                0.40409,                 1.1058,              0.0015248,              0.0015248,              0.0015248
                     38,                0.83554,                0.45227,                 1.0343,                0.98426,                 0.9803,                 0.9885,                0.76572,                0.90122,                0.43133,                  1.106,              0.0015116,              0.0015116,              0.0015116
                     39,                0.84387,                0.45838,                 1.0461,                0.98219,                0.97701,                0.99069,                0.77653,                0.87479,                0.38136,                 1.1156,              0.0014984,              0.0014984,              0.0014984
                     40,                0.85883,                0.46475,                 1.0392,                 0.9852,                0.98394,                0.99166,                0.76906,                0.87006,                0.38372,                 1.0942,              0.0014852,              0.0014852,              0.0014852
                     41,                0.85209,                0.45819,                 1.0385,                0.98143,                0.98851,                0.99126,                0.76299,                0.87904,                0.41235,                 1.1018,               0.001472,               0.001472,               0.001472
                     42,                0.84719,                0.45331,                 1.0371,                0.98402,                 0.9803,                0.99192,                0.76785,                0.87861,                0.40467,                 1.1126,              0.0014588,              0.0014588,              0.0014588
                     43,                 0.8431,                0.44444,                 1.0439,                0.98493,                0.98686,                0.99261,                0.77661,                0.89437,                0.40867,                 1.1002,              0.0014456,              0.0014456,              0.0014456
                     44,                0.82924,                0.44246,                 1.0247,                0.97653,                0.99343,                0.99012,                0.76733,                0.89394,                0.36696,                 1.1072,              0.0014324,              0.0014324,              0.0014324
                     45,                0.83445,                0.44392,                 1.0264,                0.98419,                0.99015,                0.99224,                0.78699,                0.85854,                0.36958,                 1.1165,              0.0014192,              0.0014192,              0.0014192
                     46,                0.82325,                0.44275,                 1.0237,                0.98303,                 0.9803,                0.99079,                 0.7669,                0.90644,                0.38905,                 1.1273,               0.001406,               0.001406,               0.001406
                     47,                0.83152,                0.44489,                 1.0388,                0.98046,                0.98864,                0.99087,                 0.7816,                0.85699,                0.35747,                 1.0952,              0.0013928,              0.0013928,              0.0013928
                     48,                0.82935,                0.44538,                   1.03,                0.97841,                0.98522,                0.99145,                0.77442,                0.86531,                0.38429,                 1.0937,              0.0013796,              0.0013796,              0.0013796
                     49,                 0.8241,                0.44609,                 1.0285,                0.98519,                0.98283,                0.99104,                0.77983,                 0.8482,                0.36859,                 1.0884,              0.0013664,              0.0013664,              0.0013664
                     50,                0.82911,                  0.441,                  1.027,                 0.9867,                0.98851,                0.99035,                0.76292,                0.87687,                0.41041,                 1.1106,              0.0013532,              0.0013532,              0.0013532
                     51,                0.82388,                0.43237,                 1.0298,                0.98562,                0.98686,                0.99207,                0.78315,                  0.855,                 0.3641,                 1.0803,                0.00134,                0.00134,                0.00134
                     52,                0.82815,                0.43451,                 1.0322,                0.98674,                0.97779,                0.99001,                0.77571,                0.84614,                0.37306,                 1.0866,              0.0013268,              0.0013268,              0.0013268
                     53,                0.81815,                 0.4324,                 1.0253,                0.98072,                0.97537,                0.99146,                 0.7736,                0.87214,                0.38405,                 1.0918,              0.0013136,              0.0013136,              0.0013136
                     54,                0.81616,                0.42432,                 1.0279,                 0.9836,                0.98497,                0.98899,                0.76639,                0.88449,                0.36874,                 1.1164,              0.0013004,              0.0013004,              0.0013004
                     55,                 0.8077,                 0.4202,                 1.0189,                0.98688,                0.98848,                0.99088,                0.77641,                0.85814,                0.41693,                 1.0997,              0.0012872,              0.0012872,              0.0012872
                     56,                0.80774,                0.41971,                 1.0184,                 0.9819,                0.98851,                0.99009,                0.76734,                0.89403,                 0.3744,                 1.1273,               0.001274,               0.001274,               0.001274
                     57,                0.82668,                0.43908,                 1.0289,                0.98643,                0.97865,                0.99135,                 0.7755,                0.86478,                0.36078,                 1.0956,              0.0012608,              0.0012608,              0.0012608
                     58,                0.80097,                0.42869,                 1.0144,                0.98365,                 0.9877,                0.98979,                0.78381,                0.85718,                0.35743,                  1.107,              0.0012476,              0.0012476,              0.0012476
                     59,                0.80481,                0.41878,                  1.025,                0.97809,                0.98194,                0.99159,                0.78717,                0.85616,                0.35824,                 1.0977,              0.0012344,              0.0012344,              0.0012344
                     60,                0.78569,                0.42074,                 1.0157,                 0.9836,                0.98477,                0.98714,                0.77501,                 0.8686,                0.38429,                 1.0977,              0.0012212,              0.0012212,              0.0012212
                     61,                0.80742,                 0.4225,                 1.0232,                0.98482,                0.98851,                0.99197,                0.77782,                0.85046,                0.35203,                 1.0999,               0.001208,               0.001208,               0.001208
                     62,                0.79009,                0.41391,                 1.0084,                0.99012,                 0.9877,                0.98831,                0.77347,                0.87019,                0.35715,                 1.1137,              0.0011948,              0.0011948,              0.0011948
                     63,                0.81925,                0.42075,                 1.0352,                0.98683,                0.98464,                0.99203,                0.78431,                0.86931,                0.35941,                 1.1113,              0.0011816,              0.0011816,              0.0011816
                     64,                0.79371,                 0.4215,                 1.0115,                0.98238,                0.99015,                0.99198,                0.78207,                0.85109,                0.35318,                 1.1064,              0.0011684,              0.0011684,              0.0011684
                     65,                0.79545,                0.40991,                 1.0086,                0.98693,                0.99173,                0.99102,                0.77553,                 0.8444,                0.34895,                 1.0903,              0.0011552,              0.0011552,              0.0011552
                     66,                0.78962,                0.41112,                 1.0215,                0.98214,                0.99308,                0.99179,                0.78811,                0.83382,                0.32603,                 1.0924,               0.001142,               0.001142,               0.001142
                     67,                0.78367,                0.39925,                 1.0227,                0.98845,                0.98391,                0.99121,                0.78709,                 0.8377,                0.33375,                 1.0899,              0.0011288,              0.0011288,              0.0011288
                     68,                0.78662,                 0.4028,                 1.0102,                 0.9837,                0.99114,                0.99151,                0.78606,                0.84423,                0.33209,                 1.0865,              0.0011156,              0.0011156,              0.0011156
                     69,                0.79232,                0.40418,                 1.0137,                0.96788,                0.98945,                0.99258,                 0.7879,                0.84923,                0.35152,                 1.0876,              0.0011024,              0.0011024,              0.0011024
                     70,                0.78145,                0.39659,                 1.0097,                0.98364,                0.98756,                0.99214,                0.78365,                0.85385,                0.33945,                 1.0918,              0.0010892,              0.0010892,              0.0010892
                     71,                0.78915,                0.40234,                 1.0088,                0.97422,                0.99507,                0.99191,                0.78732,                0.84196,                0.33841,                 1.0953,               0.001076,               0.001076,               0.001076
                     72,                 0.7643,                 0.3956,                 1.0031,                 0.9885,                0.98807,                0.99263,                0.78783,                0.84515,                0.34131,                  1.091,              0.0010628,              0.0010628,              0.0010628
                     73,                0.77064,                0.39655,                 1.0121,                0.98649,                0.98851,                0.99054,                0.78268,                0.85434,                0.33179,                 1.0976,              0.0010496,              0.0010496,              0.0010496
                     74,                0.78719,                0.40003,                 1.0124,                0.98646,                0.99015,                0.99347,                0.78692,                 0.8647,                0.34005,                 1.1039,              0.0010364,              0.0010364,              0.0010364
                     75,                0.76459,                 0.3882,                 1.0043,                0.98866,                 0.9803,                0.99165,                0.78258,                 0.8656,                0.36062,                 1.1185,              0.0010232,              0.0010232,              0.0010232
                     76,                0.78667,                0.40508,                 1.0171,                0.98688,                0.98798,                0.99269,                0.79906,                0.84051,                0.33406,                 1.0949,                0.00101,                0.00101,                0.00101
                     77,                 0.7738,                0.39608,                 1.0114,                0.98461,                0.99179,                0.99184,                0.79222,                0.84492,                0.32877,                 1.0991,              0.0009968,              0.0009968,              0.0009968
                     78,                0.78451,                0.39641,                   1.02,                0.98688,                0.98851,                0.99123,                0.78031,                0.87978,                0.34007,                 1.0955,              0.0009836,              0.0009836,              0.0009836
                     79,                0.77675,                 0.3916,                 1.0022,                0.98373,                0.99279,                0.99063,                0.79511,                0.85032,                0.32938,                 1.0822,              0.0009704,              0.0009704,              0.0009704
                     80,                0.76529,                0.38865,                 1.0045,                0.97735,                0.99177,                0.98936,                 0.7965,                   0.83,                0.31463,                 1.0869,              0.0009572,              0.0009572,              0.0009572
                     81,                 0.7679,                0.38903,                  1.011,                0.98181,                0.99015,                0.98955,                0.80141,                0.83031,                0.31394,                 1.0901,               0.000944,               0.000944,               0.000944
                     82,                0.76087,                0.38353,                 1.0008,                0.98944,                0.98194,                0.99134,                0.80423,                0.83105,                0.31804,                 1.0816,              0.0009308,              0.0009308,              0.0009308
                     83,                0.75892,                0.38408,                 1.0118,                0.98292,                0.99343,                0.99052,                0.79932,                 0.8202,                0.30275,                 1.0783,              0.0009176,              0.0009176,              0.0009176
                     84,                0.74823,                0.37175,                 1.0065,                0.98019,                0.98851,                0.99057,                0.79956,                0.84596,                0.33768,                 1.1041,              0.0009044,              0.0009044,              0.0009044
                     85,                0.76625,                0.38739,                 1.0044,                0.98023,                0.99179,                 0.9905,                0.78587,                0.85891,                0.33822,                 1.1094,              0.0008912,              0.0008912,              0.0008912
                     86,                0.75445,                0.38691,                 1.0027,                0.98343,                0.98686,                0.99078,                0.79596,                 0.8195,                0.32298,                 1.0756,               0.000878,               0.000878,               0.000878
                     87,                0.76413,                0.39182,                 1.0061,                0.98205,                0.98804,                0.99211,                0.80297,                0.82415,                0.32073,                 1.0833,              0.0008648,              0.0008648,              0.0008648
                     88,                0.75584,                0.38891,                 1.0006,                0.98685,                0.99343,                   0.99,                0.78505,                0.84564,                0.32546,                 1.1022,              0.0008516,              0.0008516,              0.0008516
                     89,                0.76085,                0.38172,                 1.0045,                0.98533,                0.99252,                0.99133,                0.79853,                0.81766,                 0.3225,                 1.0807,              0.0008384,              0.0008384,              0.0008384
                     90,                0.75307,                0.37931,                0.99459,                0.98823,                0.98851,                0.99187,                0.79341,                0.83714,                0.32428,                 1.0921,              0.0008252,              0.0008252,              0.0008252
                     91,                0.74488,                0.37604,                0.98975,                0.98215,                0.99368,                0.99164,                0.80046,                0.82686,                0.31885,                 1.0835,               0.000812,               0.000812,               0.000812
